venue	year	award	title	url	source_url
ACM CCS	2025	Distinguished Paper Award	Split Unlearning	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	SyzSpec: Specification Generation for Linux Kernel Fuzzing via Under-Constrained Symbolic Execution	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Jazzline: Composable CryptoLine functional correctness proofs for Jasmin programs	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	BACScan: Automatic Black-Box Detection of Broken-Access-Control Vulnerabilities in Web Applications	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Forking the RANDAO: Manipulating Ethereum's Distributed Randomness Beacon	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	DivTrackee versus DynTracker: Promoting Diversity in Anti-Facial Recognition against Dynamic FR Strategy	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	RingSG: Optimal Secure Vertex-Centric Computation for Collaborative Graph Processing	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	High-Throughput Universally Composable Threshold FHE Decryption	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Rethinking Tamper-Evident Logging: A High-Performance, Co-Designed Auditing System	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Empirical Security Analysis of Software-based Fault Isolation through Controlled Fault Injection	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Leaky Apps: Large-scale Analysis of Secrets Distributed in Android and iOS Apps	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	PAnDA: Rethinking Metric Differential Privacy Optimization at Scale with Anchor-Based Approximation	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
